reason_for_recall,classification
GM Manufacturing is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
Frozen desserts do not include ingredients on the labeling.,severe
Zingerman's BAKEHOUSE pastry labels were found not identifying the source may contain butter and cream ingredients as milk and the source of flour as wheat.,moderate
Product contains undeclared eggs.,moderate
"Danish rolls, 4 ct (123 oz) may contain undeclared milk allergen",moderate
Empirical Labs is recalling certain lots of dietary supplements due to potential for adulteration with chloramphenicol.,major
Colonna Brothers is recalling ground cumin received from its supplier that may be contaminated with peanut proteins.,severe
Coconut not listed in FALCPA Contains statement while a Contains statement is present on the label,moderate
Undeclared allergens: FD&C Yellow #5,moderate
"Samples of Santa Rosa De Lima Cuajada en Terron (fresh curd cheese) were found positive for Listeria Monocytogenes. Based on these findings, the firm recalled all brands, lots, date codes, and container sizes of the cheese products that were manufactured and/or repackaged in their facility.  Out of an abundance of caution, the firm expanded the recall to include all brands, lots, date codes, and c",major
Firm was notified by supplier that cashew butter used in protein bars is under recall due to the potential of Listeria monocytogenes.,severe
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
Consumer complaints and subsequent investigation found that packages of Pacific Sea Salt snack crackers had some Santa Fe Salsa snack crackers mixed in. Santa Fe Salsa crackers contain milk protein which is not declared on the ingredient labeling.,moderate
Materne North America Corp. is voluntarily recalling specific packages of GoGo squeeZ¿ applesauce pouches due to potential adulteration from food product residue.,major
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Product may contain undeclared milk.,moderate
Product is potentially contaminated with Listeria Monocytogenes.,severe
Lipari Foods is recalling multiple cheeses because of a supplier's recall of cheese due to potential contamination with Listeria monocytogenes.,major
Products not manufactured under GMP's,major
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
Product may contain undeclared milk.,moderate
FDA refused product due to Salmonella were mistakenly distributed to a retail supermarket.,major
Possible contamination with Listeria monocytogenes.,severe
The products may contain an undeclared milk allergen.,moderate
FreshPoint Central Florida is recalling multiple onion products and mixes.  The products were prepared using onions sourced from Gills Onions LLC which may be adulterated with Listeria monocytogenes.,major
Potential cross contamination from a of product collected by the State Department of Agriculture which tested positive for Listeria Monocytogenes,severe
Foreign material,severe
Daniella brand mangos are recalled because they may be contaminated with Salmonella.,major
"Brew Dr. Kombucha US Clear Mind, 32 oz bottles, is recalled because glass fragments were found inside the bottle.",major
"Scotcharoo product is recalled because the Contains statement does not declare Milk and Soy. Whey, Milk, and Soy Lecithin are declared in the Ingredients statement.",moderate
Products have the potential to be contaminated with Salmonella. The cashew cheese is suspect in a current outbreak.,major
The product has the potential to be contaminated with salmonella.,severe
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Recalling TR Toppers Brand Chopped Chocolate Pretzel Pieces due to the potential for contamination with peanuts.,major
Product contains foreign material (nylon string),moderate
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
"Macarons do not declare the following colors:  FD&C Blue #1, Blue #2, Red #3, Yellow #5, Yellow #6, Red #40.",severe
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
The recall was initiated because Rita's Fine Food sandwiches have undeclared milk as a sub-ingredient in cheese.,moderate
Product labeling fails to declare allergens (wheat and milk) contained in the macaroni and cheese used as sub-ingredients,moderate
Product potentially contaminated with Salmonella.,severe
Lab analysis detected the pH to be greater than 4.4,severe
Potential Listeria monocytogenes,severe
Product may contain undeclared milk.,moderate
CCP deviation with the wash process,severe
Potentially contaminated with Listeria monocytogenes,severe
Undeclared Peanuts.,moderate
Unrecorded temperatures after thermal processes.,severe
Product may contain undeclared milk.,moderate
The firm was notified that a specific lot of Ground Cumin Seed (lot # 2686E) they purchased had tested and found to be positive for peanut protein.,major
The firm does not have a scheduled process on file for this product.,moderate
Contains undeclared egg.,moderate
Firm was notified by North Carolina Dept. of Agriculture that a sample of Better Valu Cut Corn was found positive for Listeria monocytogenes. Firm initiated a recall based on the sample results.,severe
Findings and potential for Cronobacter sakazakii and Clostridium botulinum.,severe
Product contains undeclared milk.,moderate
Product may contain undeclared milk.,moderate
KT's Paleo Chocolate Chip Cookies are recalled due to undeclared soy lecithin.,major
The firm manufactured and distributed to retailers unpasteurized juice products in violation of 21 CFR 120 Juice HACCP regulations,major
Product has the potential to be contaminated with Listeria monocytogenes.,severe
Product contains undeclared sulfites.,moderate
Products may be contaminated with  Listeria monocytogenes.,severe
Potential Salmonella contamination,major
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
"Listeria contamination was discovered at Henry's Farm, Inc., a grower and manufacturer of soybean sprouts, after sampling by the US Food and Drug Administration.  Sample 875780 .     Henrys Farm Inc. of Woodford, VA is recalling all packages of Soybean Sprouts because they may be  contaminated with Listeria monocytogenes,  an organism which can cause serious and sometimes fatal infections to indiv",severe
"Dawn's Foods, inc. is conducting a voluntary recall of certain seafood products packaged in 5# and 10 oz. containers.  This is being done with the abundance of cation due to the fact that we cannot exclude the possibility that the affected sizes may be a viable environment for pathogen growth.",major
"Product labeled as ""Gluten Free"" and ""Wheat Free"" contains wheat.",moderate
Bubble tea powders contain undeclared allergens.,moderate
Undeclared milk,moderate
Product recalled due to the finding of Salmonella.,major
Due to the possible presence of metal fragments caused by a faulty manufacturing part at a North Carolina bakery,major
Label does not indicate milk on the label.,moderate
During a contracted state audit of the firm several insanitary conditions were found. These include a leaking roof and rodent activities.  Some products showed evidence of filth.,major
Potential Salmonella contamination,major
"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",severe
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
"Garden Fresh Foods Inc. is recalling 4oz individual packages of sunflower kernels that were included in   three of their salad kits.  The kernels were distributed by Eillien's Candies whose ingredient supplier, SunOpta, has stated may be contaminated with Listeria monocytogenes.  There have been no reported illnesses to date.",severe
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
CFIA sampled one salad product which resulted in a positive result for Listeria monocytogenes.,severe
Potential contamination with Salmonella Newport in onions and prepared foods containing onions.,major
Undeclared egg,moderate
Listeria monocytogenes,severe
"Undeclared fish, shellfish, and/or tree nuts.",moderate
"WEIS MARKETS IS ISSUING A VOLUNTARY RECALL FOR 30 BAKERY PRODUCTS INCLUDING MUFFINS, COOKIES, AND SHORTBREAD AND BAKED BREAD ITEMS DUE TO THE POTENTIAL PRESENCE OF SMALL METAL FRAGMENTS (2-9MM) IN THE SUGAR TOPPING USED ON THESE PRODUCTS. THE VOLUNTARY ACTION IS BEING TAKEN DUE TO OUR SUPPLIERS RECALL OF THE SUGAR INGREDIENT.",major
Products not manufactured under GMP's,major
Product has the potential to be contaminated with Salmonella.,severe
potential to be contaminated with Listeria monocytogenes,severe
"During sanitation, the firm discovered metal pieces missing from a sifter screen.",major
Rill Foods distributed dry soup/chili mix products  manufactured with cumin which was recalled due to  the potential to be contaminated with peanut protein.,major
"Charlemagne's Tree Farm, Ltd. dba HUDSON VALLEY HOMESTEAD recalled BUSHWHACKER'S Savory Sauce Mild and Hot & Spicy due to Undeclared Anchovies.",major
Undeclared Non-Allergen: Sulfites,moderate
Various vegetable and fruit products are recalled due to inadequate sanitizer in wash water.,major
"Creative Food Concepts, Inc. dba Invo Coconut Water is recalling Coconut Water with Pineapple and Coconut Water with Thai Lime because they have no process on file and they lack a 5 log reduction process.",major
"Harris Teeter Organics Antioxidant Berry Blend (10 oz.) and Townsend Farms Organic Antioxidant Blend (3 lbs.) are recalled because it has the potential to be contaminated with Hepatitis A virus, based on the epidemiological and traceback investigation by the FDA and the CDC, of an illness outbreak.",severe
"Source of whey ingredient not listed as milk, an allergen. Consumers who have an allergy or severe sensitivity to milk  run the risk of a serious or life-threatening allergic reaction if they consume these products.",moderate
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
Product was tested and found positive for Listeria monocytogenes.,severe
"Salmonella Newport. Product contains onion supplied from Thomson International, Inc.",moderate
NatureMed Inc. dba Institute for Vibrant Living is recalling All Day Energy Greens powdered green drink due to some reported cases of gastrointestinal distress.,major
Elevated brand ice cream products are being recalled due to the potential to be contaminated with Listeria monocytogenes.  These products contain ice cream mix produced and recalled by Snoqualmie Gourmet Ice Cream,major
potential to be contaminated with Listeria monocytogenes,severe
CDC epidemiologists have linked an outbreak of Listeria monocytogenes illness to caramel apples.,severe
Potential Salmonella contamination,major
Organic Pea Shoots are recalled due to a potential contamination with Listeria monocytogenes.,major
Chopped Kale are recalled because they have the potential to be contaminated with Listeria monocytogenes.,severe
Products were made with peanut butter contaminated with Salmonella.,major
"One lot Spinach Artichoke & Parmesan dip contains the ingredient and nutrition information for Caramelized onion dip. Both dips have the same allergens statement - Milk, Soy and Egg.",moderate
Potential Listeria monocytogenes contamination.,severe
"Laubscher Cheese Company, LTD , has initiated a recall of Shredded Cheese, because samples of  the shredded cheese were found positive for Listeria Monocytogenes",severe
Products may be contaminated with Listeria monocytogenes.,severe
Product contains undeclared soy.,moderate
Walnuts are not listed in the ingredient statement.,major
Product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,moderate
Materne North America Corp. is voluntarily recalling specific packages of GoGo squeeZ¿ applesauce pouches due to potential adulteration from food product residue.,major
"Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.",severe
Foreign object (metal).,severe
Products have been recalled due to potential for Salmonella contamination.,major
Sargento Foods Inc. was notified by their supplier that the cheese that was supplied may have been contaminated with Listeria monocytogenes.,severe
Recall required by Order of Permanent Injunction. The products are misbranded and deemed unapproved drugs based on labeling claims.,major
Bolthouse Farms is recalling  8 varieties of Protein Plus and Perfectly Protein drinks due to spoilage that may cause beverage to appear lumpy and have an unpleasant taste and odor.,major
The firm was notified by their supplier that various cheese products they received were contaminated by Listeria monocytogenes.,severe
E.coli O26,severe
"Some pouches were filled with a different product that contains barley, a non-wheat source of gluten, which is not declared on the product packaging.",moderate
Spice blends contain ground cumin which was recalled by Schiff Food Products due to the possible presence of peanut protein.,major
potential risk of Salmonella,major
The product is being recalled due to undeclared pecans.,major
"Firm is voluntarily recalling, out of an abundance of caution, packaged fruit products containing mangoes, distributed through August 30th 2012, since they contain Daniella Brand mandoes, which have been recalled by supplier Splendid Products, due to potential contamination with Salmonella Braenderup.",major
Products recalled due to undeclared allergen -milk,major
"Listeria contamination was discovered at Henry's Farm, Inc., a grower and manufacturer of soybean sprouts, after sampling by the US Food and Drug Administration.  Sample 875780 .     Henrys Farm Inc. of Woodford, VA is recalling all packages of Soybean Sprouts because they may be  contaminated with Listeria monocytogenes,  an organism which can cause serious and sometimes fatal infections to indiv",severe
The firm found metal fragments in two packages of product.,moderate
"The item is subject to Import Alert 21-04 in that it appears to bear or contain cyclamate and dulcin which are unsafe food additives, the item does not declare saccharin on it's labeling and the the product appears to contain or bear the following unsafe color additive such as FD&C Yellow #5 (C.I. No. 19140 - tartrazine) FD&C Red #3 (C.I. No. 45430 - Erythrosine), and Carmoisine (C.I. No. 14720 - former ext. D&C Red #10).",moderate
"Product contains undeclared allergen, eggs.",moderate
"Some Aunt Jemima and Quaker brand Self-Rising Corn Meal Mix, Buttermilk Self-Rising Corn Meal Mix, Corn Meal, and Quick Grits have levels of aflatoxin above the legal limit.",severe
Products may be contaminated with  Listeria monocytogenes.,severe
Elevated water activity level in shelf-stable products.,major
Concern with Time/Temperature abused during transit.,severe
"GKI Foods of Brighton, Michigan is voluntarily recalling multiple dark chocolate products because they may contain an undeclared milk allergen.",moderate
Product contains wheat bun but the ingredients statement does NOT declare wheat and the Contains statement declared Soy only.,moderate
Product contains undeclared walnuts,moderate
Undeclared milk protein in chocolate coating.,moderate
Sequel Naturals is recalling nine lots of products due to contamination by trace amount of chloramphenicol.,major
The firm was notified by FDA & CDC of a potential Listeria monocytogenes genetic match between environmental samples from our facility and case patient samples associated with an illness outbreak.,severe
Product contained an ingredient that tested positive for Salmonella.,moderate
The firm was notified by the Ohio Dept. of Agriculture of possible mislabeling with their Allergen declaration of undeclared milk.,moderate
Recalling Broccoli Cheese Soup with Rice after supplier  received notice of voluntary recall of positive environmental tests for Salmonella.,major
Undeclared wheat,moderate
Cal Fresh Produce is recalling Kinnikinnick Foods Original Homestyle Waffles due to undeclared milk.,moderate
The labels do not declare milk and wheat allergens.,moderate
Product contained an ingredient which may be contaminated with Salmonella,moderate
"Frozen, unbaked muffins potentially contaminated with small pieces of plastic.",severe
Sprouts are potentially contaminated with Salmonella,severe
The products were manufactured using peanut butter recalled by Sunland Inc. because it may be contaminated with Salmonella.,major
"Date coding ink was being printed directly on the food contact surface of packaging, allowing the ink to be in direct contact with the product.  The ink is not approved for food use.",moderate
Peanut Butter Meltaway was mis-labeled as Mint Meltaways and peanut is undeclared.,moderate
Lack of phenylketonurics warning.,severe
During manufacturing pieces of hard clear plastic was found. Upon investigation the source was identified as ice purchased from supplier.,moderate
Finished product may contain foreign matter (glass).,moderate
Possible contamination of product with Salmonella due to incorporation of powdered milk and powdered buttermilk .,major
The recall was initiated after it was discovered through NYDAM Sampling which revealed the product Dried Mango  contains undeclared sulfites/preservatives.,moderate
Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,severe
Contaminated with non pathogenic E. Coli,severe
Product has potential to be contaminated with Listeria monocytogenes,severe
"4Life Research, LLC is voluntarily recalling various lots  of Digestive Enzymes product due to the presence of trace amounts of the antibiotic, chloramphenicol.",major
"Foreign Matter (a 1/8  long x 8mm, white & blue strand) found on product.",moderate
Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
Products contain an excessive amount of TBHQ (tert-Butylhydroquinone) and DMPS (dimethyl polysiloxane).,major
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",severe
Undeclared wheat and undeclared milk as the source of cheese.,moderate
"All canned black cod, salmon, sardines, steelhead, sturgeon, tuna, and Razor clams with any codes starting with  OC  because it has the potential to be contaminated with Clostridium botulinum.",severe
"Mondelez Global received notification from a supplier, Associated Milk Producers, Inc. ( AMPI ), of a voluntary recall of Whey Powder Sweet Type  as a precautionary measure due to the potential presence of Salmonella.  The recalled whey powder is used as an ingredient in various Mondelez Global human food products.",major
Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,severe
Dole is suspending operations and withdrawing all marketed Dole and private label salads produced at the Springfield OH facility.  Products may be identified with a product code beginning with the letter A in the upper right hand corner of the package.,moderate
Products may be contaminated with  Listeria monocytogenes.,severe
"Frozen non-ready to eat Alaskan Salmon Bites, Kroger brand, are recalled due to potential contamination with Listeria monocytogenes or Salmonella in vegetables ingredient.",major
Product labeling does not contain a listing of ingredients.,moderate
Foreign capsules included in bottle.  Undeclared ingredients.,moderate
Product may contain undeclared almonds.,moderate
May contain small metal fragments from wire mesh sifter.,moderate
Products were found to be contaminated with Salmonella.,major
"Salmonella Newport. Product contains onion supplied from Thomson International, Inc.",moderate
potential Allergen cross contact in oil used to roast various nuts and seeds products.,major
Firm is recalling all Pistachio products produced in one of their  processing buildings in a two week time frame due to a link with a current outbreak of Salmonellosis.,major
Ranch Flavored Hazelnuts product is recalled due to undeclared  hazelnut in the Contains statement.,moderate
Product may contain undeclared milk and almond.,moderate
"Jensen's Old Fashioned Smokehouse, Inc. is recalling Savory Hot Smoked Salmon because it is not consistently labeled ""KEEP FROZEN"" and it has the potential to be contaminated with Clostridium botulinum",severe
"Good Seed Inc. of Springfield, VA is recalling all packages of soybean sprouts and mung bean sprouts because they have the potential to be contaminated with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections to individuals with weakened immune systems.      The contamination was discovered after sampling by the Virginia Department of Agriculture and Consumer Services Food Safety Program and subsequent analysis by the Virginia Division of Consolidated Laboratory Services revealed the presence of Listeria monocytogenes in the product.",severe
Potential to contain Listeria monocytogenes,severe
"Onions included various meal kits delivered the week of July 27, 2020 may be contaminated with Salmonella.",severe
FDA sample 466576 found 208.46 ppm of Sulfites in Hana Ebi dried shrimp product.,moderate
"Nobel Bakery is recalling Apricot Perouk and Assorted cookies because they may contain undeclared wheat, milk, soy lecithin.",moderate
"Command Nutritionals LLC is recalling Hard Blast-Pink Lemonade and Juggernaut- Various flavors due to contaminated L-Citrulline which was received from Axel Chemicals, Brentwood, TN.",major
The firm was notified by FDA & CDC of a potential Listeria monocytogenes genetic match between environmental samples from our facility and case patient samples associated with an illness outbreak.,severe
Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.,severe
Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,severe
The product contains undeclared sulfites.,moderate
Tate's Bake Shop has recalled Chocolate Chip Cookies and Ginger Zinger Cookies due to the presence of undeclared walnuts.,major
Potential to be contaminated with Listeria monocytogenes,severe
"Urban Oven, LLC is recalling Urban Oven Butter Cookies, Cocoa Cookies, Pecan Cookies, and Lemon Pistachio Cookies because it does not declare milk on the label from the ingredient butter.",moderate
"EN-R-G Foods is recalling Cherry Lime Protein Chews, Raspberry Protein Chews, Juneberry Protein Chews due to complaints of nausea and/ or vomiting after consumption.",major
Potential to be contaminated with Listeria monocytogenes,severe
Findings and potential for Cronobacter sakazakii and Clostridium botulinum.,severe
"Some Aunt Jemima brand Buttermilk Self-Rising Corn Meal Mix, Quick Grits Enriched with White Hominy, and Buttermilk Self-Rising Corn Meal Mix White have levels of aflatoxin above the legal limit..",severe
Container of Peanut butter cookies contains an incorrect bottom label.,moderate
Peanut butter may contain aflatoxins above allowable levels.,moderate
Product contains undeclared sulfites.,moderate
"Bubbies Mochi Ice Cream, Bubbles Cookie Dough Ice Cream Bites,Trader Joe's Mochi six-piece products because of the potential for ""free-floating"" foreign plastic pieces in the product.",major
"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.",major
Nature's Way (NW) is voluntary recalling a number of products because the raw material supplier informed them that enzymes in the blend they provided to NW may contain the antibiotic chloramphenicol.,moderate
"Jensen's Old Fashioned Smokehouse, Inc. is recalling Clippership Hot Smoked Black Cod because it may not labeled ""KEEP FROZEN"" and the product has the potential to be contaminated  with Clostridium botulinum.",severe
Recall required by Order of Permanent Injunction. The products are misbranded and deemed unapproved drugs based on labeling claims.,major
A customer notified the firm that the product contained glass pieces.,moderate
Product may be contaminated with Listeria monocytogenes.,severe
"Pursuant to a consent decree for injunctive relief the recalling firm was ordered to recall all products because they are misbranded, unapproved new drugs and adulterated dietary supplements.",major
"FDA environmental sampling found 21 of 50 positive for Listeria monocytogenes, 11 of these on food contact surfaces.",severe
Product may contain undeclared milk.,moderate
The firm is initiating the recall  for Scottish Raspberry Preserve due to discovery of contaminants.,major
Boku is recalling Super Protein because it may be contaminated with Salmonella.,severe
Product contains undeclared peanut,moderate
"JFC International Inc. is recalling Oyster IQF L size Frozen wild, PAFCO Oyster Meat Tiny IQF, Oyster M Frozen Farm, Breaded Oyster Frozen, Tablemark Kaki (oyster) Fry, and Pacific Surf Breaded Oyster Fry.  The products have been prepared, packed, or held under insanitary conditions whereby they may have become contaminated with filth, or whereby they may have been rendered injurious to health.",major
Findings and potential for Cronobacter sakazakii and Clostridium botulinum.,severe
The presence of a foreign material inside jugs of Bunge Vegetable Oil.,severe
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
Index Fresh is recalling avocados because they may be contaminated with Listeria monocytogenes.,severe
Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,major
"Presence of undeclared allergens soy, pecans & milk",moderate
"G.O. Fresh in Minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by DFI Marketing, Inc. due to potential Salmonella contamination.",major
"A&C US Trading LLC., has recalled Haw Flakes due to use of unapproved food coloring.",major
Metal,severe
Figi's is recalling Gift #0368 Christmas Gingersnap Variety and Bulk Dark Chocolate Gingersnaps due to undeclared milk.,moderate
The product has the potential to be contaminated with Listeria monocytogenes.,severe
"Pursuant to a consent decree for injunctive relief the recalling firm was ordered to recall all products because they are misbranded, unapproved new drugs and adulterated dietary supplements.",major
"JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.",major
Champagne Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes,severe
Organic Paprika contains unapproved colors.,moderate
Dietary supplement products are recalled because they were made from ingredient that was contaminated with Chloramphenicol.,major
Cumin used was contaminated with peanut protein.,severe
Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
"Mondelez Global received notification from a supplier, Associated Milk Producers, Inc. ( AMPI ), of a voluntary recall of Whey Powder Sweet Type  as a precautionary measure due to the potential presence of Salmonella.  The recalled whey powder is used as an ingredient in various Mondelez Global human food products.",major
Firm was notified by supplier of Elder Berries of a recall due to potential Salmonella contamination.,major
Firm was notified by immediate supplier that certain lots of  ground cumin may have been contaminated with peanut protein which is not declared on the label.,severe
Product contains undeclared FD&C Red No. 40.,moderate
Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,severe
Private lab result was positive for Listeria Monocytogenes,severe
Product may contain foreign objects (metal).,moderate
"Contamination with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain and diarrhea, Listeria infection can cause miscarriages and stillbirt",severe
Products may be contaminated with Cronobacter sakazakii and/or Clostridium botulinum,major
Products were manufactured with cumin found to contain undeclared peanuts.,moderate
The products may have come into contact with equipment used to process the country ham the supplier recalled for Listeria monocytogenes.,severe
Kellogg Company initiated a voluntary recall of multiple snack food items because of the potential for undeclared allergen peanut due to a supplier's recall of flour.,major
Potential Salmonella contamination.,major
Elevated brand ice cream products are being recalled due to the potential to be contaminated with Listeria monocytogenes.  These products contain ice cream mix produced and recalled by Snoqualmie Gourmet Ice Cream,major
Products not manufactured under GMP's,major
Product may be contaminated with Salmonella.,moderate
"Garden-Fresh Foods is recalling various cut vegetables, ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013 because they may be contaminated with Listeria monocytogenes.",severe
Product contains high levels of undeclared sulfites.,moderate
Undeclared soy and wheat found in the flour ingredient of the Texas BBQ Beef sandwich. People with an allergy or sensitivity to soy or wheat run the risk of a serious or life threatening reaction if they consume this product.,moderate
Products were manufactured with cumin found to contain undeclared peanuts.,moderate
"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.",major
Product potentially contaminated with Listeria monocytogenes,severe
San Juan Salsa Co. is recalling six varieties of salsa due to potential peanut contamination.,major
"Pursuant to a consent decree for injunctive relief the recalling firm was ordered to recall all products because they are misbranded, unapproved new drugs and adulterated dietary supplements.",major
Presence of plastic in muffins and brownies.,severe
General Mills is recalling a limited quantity of frozen Cascadian Farm Cut Green Beans after one package of finished product tested positive for the presence of Listeria monocytogenes.,severe
Firm received notification from their supplier of a voluntary recall due to the potential contamination of Salmonella and/or Listeria.,major
Failure to declare milk.,moderate
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo",severe
Greek yogurt product Chobani brand is recalled due to report of illnesses and product bloated and swollen.,major
Products have the potential to be contaminated with Listeria monocytogenes.,severe
The product contains undeclared milk.,moderate
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
"Herrs Foods is announcing a product recall on Chipotle flavored Kettle Potato Chips under the Herrs and the Peddlers Pantry Brand, 2.625 oz., and 8.0 oz. due to possible health risk. These products were flavored with Chipotle seasoning that contained a milk ingredient. The milk ingredient is being recalled due to a potential risk of Salmonella contamination.",major
"Utz Quality Foods, LLC, is voluntarily recalling select expiration dates of some Golden Flake, Good Health, Utz and Weis Brand Tortilla Chip items due to potential contamination of undeclared milk allergen.",major
Natural Directions Organic Green Peas are recalled because they have the potential to be contaminated with Listeria monocytogenes.,severe
Strawberry Basil Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes.,severe
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
"Products were manufactured with peanut butter products recalled by Sunland, Inc. found to be contaminated with Salmonella.",major
Product has the potential to be contaminated with Clostridium botulinum.,severe
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
Possible metal fragments in Yogurt Bars,severe
"Hormel Foods is recalling Great Shake and Great Shake Plus, fortified Nutrition drinks, due to presence of undeclared milk.",moderate
"Go Max Go Foods is recalling various lots of vegan candy bar products containing the statement ""dairy-free"" due to undeclared milk.",major
Product may contain undeclared milk.,moderate
Products may be contaminated with  Listeria monocytogenes.,severe
"Undeclared allergens: wheat, soy, and egg.",moderate
Tortilla Crusted Crumb is recalled due to a potential to be contaminated with E. coli O121.,major
"Chocolate Chip Cookie Dough Husky ice cream is being recalled due to the potential to be contaminated with Listeria monocytogenes. This product contains an ice cream mix ingredient manufactured and recalled by Snoqualmie Gourmet Ice Cream, Inc.",major
Undeclared peanut protein in products containing cumin,major
Product may be potentially contaminated with Salmonella.,moderate
Downstream recall from supplier.  Possible metal shavings in ingredient.,major
Potential Salmonella contamination.,major
Undeclared soy lecithin.,moderate
Texamerican Food Blending received notification from its supplier that two lots of ingredients    were contaminated with Peanut allergen.  The products affected do not have peanuts listed in the ingredient statement.  All product items listed have a cleanout after mixing. The firm current corrective action in regard to receiving this ingredient is to discontinue ordering ingredient from Schiff Foo,major
Possible Peanut Protein contamination.,major
"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",major
Firm received positive test results for L. monocytogenes in a finished product. All products manufactured with the same components are being recalled.,major
"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",severe
Products have the potential to be contaminated with Listeria monocytogenes.,severe
"Customer reported that a product user complained that the caplets were not coated, making them difficult to swallow.",moderate
Positive results of FDA sampling for Listeria Monocytogenes - environmental and finished product..,severe
Parsley is recalled due to a potential for contamination with Cyclospora cayetanensis.,major
Products are potentially contaminated with Listeria monocytogenes.,severe
